,Proton Number,Nucleon Number,Binding Energy
2780,82.0,203,1.5667733355729752
2781,83.0,203,1.5625134763129722
2782,84.0,203,1.557301636967992
2783,85.0,203,1.5511561563759813
2784,86.0,203,1.5441807646949997
2785,87.0,203,1.53612405282297
2786,88.0,203,1.5274032325829694
2787,77.0,204,1.5645650939999882
2788,78.0,204,1.5716107959999874
2789,79.0,204,1.5733795899999734
2790,80.0,204,1.5766770515529913
2791,81.0,204,1.5753331559799904
2792,82.0,204,1.5750964959139822
2793,83.0,204,1.5696349754030052
2794,84.0,204,1.5663313173819802
2795,85.0,204,1.5588689531169848
2796,86.0,204,1.5539658883009508
2797,87.0,204,1.5443930140679925
2798,88.0,204,1.5379421179949873
2799,77.0,205,1.5685971719999827
2800,78.0,205,1.5748133529999961
2801,79.0,205,1.5795604159999925
2802,80.0,205,1.5822758964189632
2803,81.0,205,1.582808166941959
2804,82.0,205,1.5817575540579867
2805,83.0,205,1.578054395557956
2806,84.0,205,1.573512104413993
2807,85.0,205,1.5679776316739549
2808,86.0,205,1.561705674731968
2809,87.0,205,1.554309121925968
2810,88.0,205,1.5461992257479835
2811,89.0,205,1.536900794487991
2812,78.0,206,1.579235519999969
2813,79.0,206,1.583182853999972
2814,80.0,206,1.588934617752983
2815,81.0,206,1.5892414894520073
2816,82.0,206,1.58977288948995
2817,83.0,206,1.5850175771669797
2818,84.0,206,1.5821790206779838
2819,85.0,206,1.5754327899919929
2820,86.0,206,1.5711280742209794
2821,87.0,206,1.5622461984289657
2822,88.0,206,1.5564362790979942
2823,89.0,206,1.5455223999130112
2824,78.0,207,1.5821373639999763
2825,79.0,207,1.5876348129999656
2826,80.0,207,1.5924786999999867
2827,81.0,207,1.5960232787449797
2828,82.0,207,1.5964400596489838
2829,83.0,207,1.5930439170190027
2830,84.0,207,1.5891366060459688
2831,85.0,207,1.5842204653349654
2832,86.0,207,1.5786301614559761
2833,87.0,207,1.5718475100499916
2834,88.0,207,1.564487876979996
2835,89.0,207,1.555859684722975
2836,78.0,208,1.5864999469999645
2837,79.0,208,1.5909071949999714
2838,80.0,208,1.5972583709999526
2839,81.0,208,1.5997412364139905
2840,82.0,208,1.6037369833449873
2841,83.0,208,1.5998601421399599
2842,84.0,208,1.5974599414149964
2843,85.0,208,1.591463286758966
2844,86.0,208,1.5876502683969989
2845,87.0,208,1.5796635146579945
2846,88.0,208,1.5742729838279956
2847,89.0,208,1.5642448543189857
2848,90.0,208,1.5573208110119765
2849,79.0,209,1.5952288139999666
2850,80.0,209,1.6006052329999818
2851,81.0,209,1.6046375551969732
2852,82.0,209,1.6076052304819655
2853,83.0,209,1.6072489043309872
2854,84.0,209,1.604357333908979
2855,85.0,209,1.5998769393689827
2856,86.0,209,1.5949363068409923
2857,87.0,209,1.5887801383689748
2858,88.0,209,1.5821427462379916
2859,89.0,209,1.574159805874956
2860,90.0,209,1.5656134689999703
2861,79.0,210,1.5983215129999735
2862,80.0,210,1.6052973899999756
2863,81.0,210,1.6082420909979476
2864,82.0,210,1.6127206172889998
